
-- THỨ 2 (27/07)
-- Sáng (ĐỦ NHƯNG OVERLAP NẶNG: 8 NV)
INSERT INTO SHIFT (IdEmployee, workDate, startTime, endTime, status, isHoliday) VALUES (1003, '2026-07-27', '08:00', '12:00', 0, 0);
INSERT INTO SHIFT (IdEmployee, workDate, startTime, endTime, status, isHoliday) VALUES (1004, '2026-07-27', '08:00', '12:00', 0, 0);
INSERT INTO SHIFT (IdEmployee, workDate, startTime, endTime, status, isHoliday) VALUES (1005, '2026-07-27', '08:00', '12:00', 0, 0);
INSERT INTO SHIFT (IdEmployee, workDate, startTime, endTime, status, isHoliday) VALUES (1006, '2026-07-27', '08:00', '12:00', 0, 0);
INSERT INTO SHIFT (IdEmployee, workDate, startTime, endTime, status, isHoliday) VALUES (1007, '2026-07-27', '08:00', '12:00', 0, 0);
INSERT INTO SHIFT (IdEmployee, workDate, startTime, endTime, status, isHoliday) VALUES (1008, '2026-07-27', '08:00', '12:00', 0, 0);
INSERT INTO SHIFT (IdEmployee, workDate, startTime, endTime, status, isHoliday) VALUES (1009, '2026-07-27', '08:00', '12:00', 0, 0);
INSERT INTO SHIFT (IdEmployee, workDate, startTime, endTime, status, isHoliday) VALUES (1010, '2026-07-27', '08:00', '12:00', 0, 0);
-- Chiều (Đủ: 2 NV)
INSERT INTO SHIFT (IdEmployee, workDate, startTime, endTime, status, isHoliday) VALUES (1011, '2026-07-27', '13:00', '17:00', 0, 0);
INSERT INTO SHIFT (IdEmployee, workDate, startTime, endTime, status, isHoliday) VALUES (1012, '2026-07-27', '13:00', '17:00', 0, 0);
-- Tối (Đủ: 2 NV)
INSERT INTO SHIFT (IdEmployee, workDate, startTime, endTime, status, isHoliday) VALUES (1013, '2026-07-27', '17:00', '21:00', 0, 0);
INSERT INTO SHIFT (IdEmployee, workDate, startTime, endTime, status, isHoliday) VALUES (1014, '2026-07-27', '17:00', '21:00', 0, 0);
-- THỨ 3 (28/07)
-- Sáng (Thiếu: 1 NV)
INSERT INTO SHIFT (IdEmployee, workDate, startTime, endTime, status, isHoliday) VALUES (1015, '2026-07-28', '08:00', '12:00', 0, 0);
-- Chiều (Đủ: 2 NV)
INSERT INTO SHIFT (IdEmployee, workDate, startTime, endTime, status, isHoliday) VALUES (1016, '2026-07-28', '13:00', '17:00', 0, 0);
INSERT INTO SHIFT (IdEmployee, workDate, startTime, endTime, status, isHoliday) VALUES (1017, '2026-07-28', '13:00', '17:00', 0, 0);
-- Tối (ĐỦ NHƯNG OVERLAP NHIỀU: 6 NV)
INSERT INTO SHIFT (IdEmployee, workDate, startTime, endTime, status, isHoliday) VALUES (1003, '2026-07-28', '17:00', '21:00', 0, 0);
INSERT INTO SHIFT (IdEmployee, workDate, startTime, endTime, status, isHoliday) VALUES (1004, '2026-07-28', '17:00', '21:00', 0, 0);
INSERT INTO SHIFT (IdEmployee, workDate, startTime, endTime, status, isHoliday) VALUES (1005, '2026-07-28', '17:00', '21:00', 0, 0);
INSERT INTO SHIFT (IdEmployee, workDate, startTime, endTime, status, isHoliday) VALUES (1006, '2026-07-28', '17:00', '21:00', 0, 0);
INSERT INTO SHIFT (IdEmployee, workDate, startTime, endTime, status, isHoliday) VALUES (1007, '2026-07-28', '17:00', '21:00', 0, 0);
INSERT INTO SHIFT (IdEmployee, workDate, startTime, endTime, status, isHoliday) VALUES (1008, '2026-07-28', '17:00', '21:00', 0, 0);
-- THỨ 4 (29/07)
-- Sáng (Thiếu: 1 NV)
INSERT INTO SHIFT (IdEmployee, workDate, startTime, endTime, status, isHoliday) VALUES (1018, '2026-07-29', '08:00', '12:00', 0, 0);
-- Chiều (Đủ: 2 NV)
INSERT INTO SHIFT (IdEmployee, workDate, startTime, endTime, status, isHoliday) VALUES (1019, '2026-07-29', '13:00', '17:00', 0, 0);
INSERT INTO SHIFT (IdEmployee, workDate, startTime, endTime, status, isHoliday) VALUES (1020, '2026-07-29', '13:00', '17:00', 0, 0);
-- Tối (Đủ: 2 NV)
INSERT INTO SHIFT (IdEmployee, workDate, startTime, endTime, status, isHoliday) VALUES (1021, '2026-07-29', '17:00', '21:00', 0, 0);
INSERT INTO SHIFT (IdEmployee, workDate, startTime, endTime, status, isHoliday) VALUES (1022, '2026-07-29', '17:00', '21:00', 0, 0);
-- THỨ 5 (30/07)
-- Sáng (Đủ: 2 NV)
INSERT INTO SHIFT (IdEmployee, workDate, startTime, endTime, status, isHoliday) VALUES (1003, '2026-07-30', '08:00', '12:00', 0, 0);
INSERT INTO SHIFT (IdEmployee, workDate, startTime, endTime, status, isHoliday) VALUES (1004, '2026-07-30', '08:00', '12:00', 0, 0);
-- Chiều (Đủ: 2 NV)
INSERT INTO SHIFT (IdEmployee, workDate, startTime, endTime, status, isHoliday) VALUES (1005, '2026-07-30', '13:00', '17:00', 0, 0);
INSERT INTO SHIFT (IdEmployee, workDate, startTime, endTime, status, isHoliday) VALUES (1006, '2026-07-30', '13:00', '17:00', 0, 0);
-- Tối (Thiếu: 1 NV)
INSERT INTO SHIFT (IdEmployee, workDate, startTime, endTime, status, isHoliday) VALUES (1007, '2026-07-30', '17:00', '21:00', 0, 0);
-- THỨ 6 (31/07)
-- Sáng (Đủ: 2 NV)
INSERT INTO SHIFT (IdEmployee, workDate, startTime, endTime, status, isHoliday) VALUES (1008, '2026-07-31', '08:00', '12:00', 0, 0);
INSERT INTO SHIFT (IdEmployee, workDate, startTime, endTime, status, isHoliday) VALUES (1009, '2026-07-31', '08:00', '12:00', 0, 0);
-- Chiều (Thiếu: 1 NV)
INSERT INTO SHIFT (IdEmployee, workDate, startTime, endTime, status, isHoliday) VALUES (1010, '2026-07-31', '13:00', '17:00', 0, 0);
